tx_power_max,tput_airtime_tx,avg_util_rx_other_bss,avg_util_unknown_wifi,avg_util_non_wifi,pq_tpt_diff,avg_util_all,avg_nclients,airuse_by_len,retry_by_req,pq_air_diff,pq_airuse,pq_length,pq_max_used,pq_requested,pq_retried,pq_rtsfail,pq_throughput,wirelink_dl,tput_parametric,chanutil_intf,num_streams,band,avg_rssi,txrate_by_streams,rxrate_by_streams,txrate_by_wandl,rxrate_by_wandl,download,download_norm
8,0.55733526,0.108353205,0.019688776,0.000273415,50.0,0.1707386,12,0.04861111111111111,0.0,36.0,28.0,576,0.0,11.0,0.0,2.0,4,90.0,247.72149767244858,0.128315396,3,5,-52.0,180.0,200.0,6.0,6.666666666666667,21.334,0.23704444444444445
8,0.598803642,0.07060065,0.011348679,0.000845634,982.0,0.12466262,12,0.1111111111111111,0.23076923076923078,5108.0,64.0,576,0.0,26.0,6.0,0.0,54,90.0,265.5600693392771,0.082794963,3,5,-54.0,200.0,200.0,6.666666666666667,6.666666666666667,15.834,0.17593333333333333
8,0.19991421,0.13879879999999994,0.052958667,0.002325386,11205.0,0.5778731,11,8.979166666666666,0.0026865054763380862,3987.0,5172.0,576,13.0,4839.0,13.0,200.0,1036,90.0,88.71709611084083,0.194082853,3,5,-54.0,200.0,200.0,6.666666666666667,6.666666666666667,30.472,0.3385777777777778
8,0.150983253,0.06811537599999999,0.010697416,0.001123526,27469.0,0.63224083,11,2.0572916666666665,0.07474844274077623,2146.0,1185.0,576,63.0,2087.0,156.0,40.0,12241,90.0,67.192921622514,0.07993631799999999,3,5,-53.0,150.0,200.0,5.0,6.666666666666667,18.407,0.20452222222222222
8,0.18312273,0.053517886,0.005042078,0.00042473,25193.0,0.5965303000000001,11,5.782986111111111,0.006930967563071805,338.0,3331.0,576,63.0,3607.0,25.0,83.0,39710,90.0,81.53381835136334,0.058984693,3,5,-54.0,150.0,200.0,5.0,6.666666666666667,36.563,0.4062555555555556
8,0.26014959,0.052886337,0.002967533,0.000510701,8160.0,0.5109449,11,6.369791666666667,0.03592120509849363,1891.0,3669.0,576,10.0,1726.0,62.0,62.0,14517,90.0,116.53822029815267,0.056364571,3,5,-56.0,180.0,200.0,6.0,6.666666666666667,14.51,0.1612222222222222
8,0.465834447,0.103868686,0.03687361,0.000209936,6340.0,0.29240617,10,3.0868055555555554,0.03629536921151439,1691.0,1778.0,576,5.0,799.0,29.0,64.0,6357,90.0,210.1847951235996,0.14095223199999998,3,5,-55.0,200.0,200.0,6.666666666666667,6.666666666666667,16.017,0.17796666666666666
8,0.545909103,0.100706585,0.044638917,0.000265603,13.0,0.19343433,11,0.15104166666666666,0.0,75.0,87.0,576,0.0,34.0,0.0,1.0,17,90.0,246.10478178241655,0.145611105,3,5,-54.0,200.0,8.0,6.666666666666667,0.26666666666666666,19.906,0.22117777777777775
8,0.436727016,0.14231952,0.03419254,0.000416958,4.0,0.30474776,12,0.020833333333333332,0.0,5.0,12.0,576,0.0,4.0,0.0,0.0,4,90.0,196.7802512055839,0.17692901800000002,3,5,-53.0,200.0,8.0,6.666666666666667,0.26666666666666666,39.715,0.4412777777777778
8,0.378404874,0.14413871,0.056511045,0.000399382,4.0,0.36955014,12,0.029513888888888888,0.0,10.0,17.0,576,0.0,7.0,0.0,0.0,8,90.0,170.08230081178803,0.201049137,3,5,-54.0,200.0,8.0,6.666666666666667,0.26666666666666666,43.541,0.4837888888888889
8,0.404266068,0.2111784,0.09133253,0.000381805,2.0,0.34081548,12,0.012152777777777778,0.0,5.0,7.0,576,0.0,2.0,0.0,0.0,4,90.0,182.52996202304482,0.302892735,3,5,-53.0,200.0,200.0,6.666666666666667,6.666666666666667,41.484,0.46093333333333336
8,0.560668527,0.1089226,0.005321824,0.0007323610000000001,25.0,0.16703497,12,0.020833333333333332,0.0,20.0,12.0,576,0.0,5.0,0.0,0.0,2,90.0,251.83861775526043,0.114976785,3,5,-57.0,200.0,8.0,6.666666666666667,0.26666666666666666,45.797,0.5088555555555555
8,0.617922675,0.06276829,0.002411912,0.0007616560000000001,23.0,0.10341925,12,0.05555555555555555,0.6666666666666666,15.0,32.0,576,0.0,15.0,10.0,0.0,27,90.0,277.0235165634267,0.06594185799999999,3,5,-57.0,162.0,200.0,5.4,6.666666666666667,47.261,0.5251222222222223
8,0.43045551,0.18100566,0.10960527,0.001095613,16.0,0.3417161,9,0.029513888888888888,0.0,28.0,17.0,576,0.0,7.0,0.0,0.0,4,90.0,202.63081735766372,0.291706543,3,5,-54.0,200.0,8.0,6.666666666666667,0.26666666666666666,39.426,0.4380666666666667
8,0.615898269,0.077933036,0.001426497,0.00024312,295.0,0.13566859,9,0.078125,0.0,213.0,45.0,576,1.0,22.0,0.0,3.0,20,90.0,291.1112833913503,0.079602653,3,5,-54.0,200.0,200.0,6.666666666666667,6.666666666666667,30.078000000000007,0.33420000000000005
8,0.18008892,0.05126633,0.009061529,0.000334889,313.0,0.6099011999999999,10,0.4479166666666667,0.29523809523809524,246.0,258.0,576,0.0,105.0,31.0,8.0,315,90.0,84.97199971587138,0.060662748,3,5,-55.0,200.0,200.0,6.666666666666667,6.666666666666667,45.644,0.5071555555555556
8,0.627190101,0.058926575,0.0033444390000000003,0.000388638,5.0,0.11312211,10,0.020833333333333332,0.0,6.0,12.0,576,0.0,5.0,0.0,0.0,2,90.0,293.1962304686437,0.062659653,3,5,-54.0,200.0,200.0,6.666666666666667,6.666666666666667,36.912,0.41013333333333335
8,0.537967629,0.08751732,0.0056636030000000006,0.000326145,43652.0,0.21225819,10,0.03125,0.0,8432.0,18.0,576,0.0,6.0,0.0,0.0,7,90.0,253.04965489284984,0.093507069,3,5,-55.0,200.0,8.0,6.666666666666667,0.26666666666666666,36.133,0.4014777777777778
8,0.20625642,0.05839651,0.0029456990000000004,0.000326107,6165.0,0.5708262,11,14.67013888888889,0.014002333722287048,800.0,8450.0,576,41.0,4285.0,60.0,207.0,43659,90.0,97.83739009070689,0.061668316,3,5,-55.0,200.0,200.0,6.666666666666667,6.666666666666667,45.538,0.5059777777777777
8,0.15760773,0.1132614,0.001081599,0.0007135819999999999,49822.0,0.6248803,11,13.28125,0.021763024840624312,7638.0,7650.0,576,63.0,4549.0,99.0,224.0,49824,90.0,71.99306644833557,0.115056582,3,5,-55.0,135.0,200.0,4.5,6.666666666666667,45.331,0.5036777777777778
8,0.487626795,0.15370598,0.055453405,0.000460899,5.0,0.25819245,11,0.020833333333333332,0.0,11.0,12.0,576,0.0,4.0,0.0,0.0,2,90.0,223.95568575366178,0.209620284,3,5,-54.0,200.0,200.0,6.666666666666667,6.666666666666667,13.849,0.15387777777777778
8,0.361498068,0.106768794,0.03962671,0.0011288160000000002,7.0,0.40833548,10,0.03993055555555555,0.0,0.0,23.0,576,1.0,12.0,0.0,0.0,7,90.0,169.75226606107242,0.14752432,3,5,-54.0,200.0,8.0,6.666666666666667,0.26666666666666666,27.993,0.31103333333333333
8,0.21704967,0.10152367,0.041654866,0.00029000900000000003,2.0,0.5688337,10,0.03993055555555555,0.0,2.0,23.0,576,0.0,10.0,0.0,1.0,14,90.0,99.64841464980967,0.143468545,3,5,-54.0,180.0,200.0,6.0,6.666666666666667,18.953,0.21058888888888888
8,0.20085273,0.1464786,0.0867732,0.00068353,5.0,0.5868303,10,0.043402777777777776,0.0,13.0,25.0,576,0.0,10.0,0.0,1.0,12,90.0,93.72566095621724,0.23393533,3,5,-55.0,162.0,200.0,5.4,6.666666666666667,22.19,0.24655555555555558
