Column1,link,rx_fcserrors,admin_status,rx_packets,tx_packets,poe_status,poe_power,auto_negotiation_status,time
187,FALSE,0,TRUE,0,0,TRUE,11.2,complete,2019-12-05T03:18
188,FALSE,0,TRUE,0,0,TRUE,9.8,complete,2019-12-05T03:22
189,FALSE,0,TRUE,0,0,TRUE,10.6,complete,2019-12-05T03:22
190,FALSE,0,TRUE,0,0,TRUE,9.4,complete,2019-12-05T03:23
191,FALSE,0,TRUE,0,0,TRUE,10.8,complete,2019-12-05T03:24
192,FALSE,0,TRUE,0,0,TRUE,9.6,complete,2019-12-05T03:25
193,FALSE,0,TRUE,0,0,TRUE,10.8,complete,2019-12-05T03:26
194,FALSE,0,TRUE,0,0,TRUE,9.6,complete,2019-12-05T03:27
195,FALSE,0,TRUE,0,0,TRUE,10,complete,2019-12-05T03:28
196,FALSE,0,TRUE,0,0,TRUE,9.8,complete,2019-12-05T03:29
197,FALSE,0,TRUE,0,0,TRUE,9.6,complete,2019-12-05T03:30
198,FALSE,0,TRUE,0,0,TRUE,10.6,complete,2019-12-05T03:31
199,FALSE,0,TRUE,0,0,TRUE,10,complete,2019-12-05T03:32
200,FALSE,0,TRUE,0,0,TRUE,10.8,complete,2019-12-05T03:33
201,FALSE,0,TRUE,0,0,TRUE,9.6,complete,2019-12-05T03:34
202,FALSE,0,TRUE,0,0,TRUE,10.8,complete,2019-12-05T03:35
203,FALSE,0,TRUE,0,0,TRUE,10,complete,2019-12-05T03:36
204,FALSE,0,TRUE,0,0,TRUE,9.6,complete,2019-12-05T03:37
205,FALSE,0,TRUE,0,0,TRUE,10,complete,2019-12-05T03:38
206,FALSE,0,TRUE,0,0,TRUE,9.6,complete,2019-12-05T03:39
207,FALSE,0,TRUE,0,0,TRUE,11.2,complete,2019-12-05T03:40
208,FALSE,0,TRUE,0,0,TRUE,9.6,complete,2019-12-05T03:41
209,FALSE,0,TRUE,0,0,TRUE,10.6,complete,2019-12-05T03:42
210,FALSE,0,TRUE,0,0,TRUE,9.4,complete,2019-12-05T03:43
211,FALSE,0,TRUE,0,0,TRUE,10.6,complete,2019-12-05T03:44
212,FALSE,0,TRUE,0,0,TRUE,9.4,complete,2019-12-05T03:45
213,FALSE,0,TRUE,0,0,TRUE,9.4,complete,2019-12-05T03:46
214,FALSE,0,TRUE,0,0,TRUE,9.4,complete,2019-12-05T03:47
215,FALSE,0,TRUE,0,0,TRUE,10,complete,2019-12-05T03:48
216,FALSE,0,TRUE,0,0,TRUE,10.8,complete,2019-12-05T03:49
217,FALSE,0,TRUE,0,0,TRUE,9.4,complete,2019-12-05T03:50
218,FALSE,0,TRUE,0,0,TRUE,10.8,complete,2019-12-05T03:51
219,FALSE,0,TRUE,0,0,TRUE,9.4,complete,2019-12-05T03:52
220,FALSE,0,TRUE,0,0,TRUE,10.6,complete,2019-12-05T03:53
221,FALSE,0,TRUE,0,0,TRUE,10.4,complete,2019-12-05T03:54
222,FALSE,0,TRUE,0,0,TRUE,9.6,complete,2019-12-05T04:03
223,FALSE,0,TRUE,0,0,TRUE,9.6,complete,2019-12-05T04:03
224,FALSE,0,TRUE,0,0,TRUE,9.4,complete,2019-12-05T04:11
225,FALSE,0,TRUE,0,0,TRUE,9.6,complete,2019-12-05T04:12
226,FALSE,0,TRUE,0,0,TRUE,9.4,complete,2019-12-05T04:13
227,FALSE,0,TRUE,0,0,TRUE,9.6,complete,2019-12-05T04:14
228,FALSE,258,TRUE,0,17,TRUE,11.2,incomplete,2019-12-05T04:27
229,FALSE,3750,TRUE,0,217,TRUE,9.2,incomplete,2019-12-05T04:29
230,FALSE,0,TRUE,0,11,TRUE,10.2,complete,2019-12-05T04:30
231,TRUE,3036,TRUE,0,246,TRUE,9.4,complete,2019-12-05T04:31
232,TRUE,2234,TRUE,0,325,TRUE,9.4,complete,2019-12-05T04:33
233,FALSE,0,TRUE,0,10,TRUE,10,incomplete,2019-12-05T04:34
234,TRUE,1984,TRUE,0,32,TRUE,9.4,complete,2019-12-05T04:35
235,TRUE,4455,TRUE,0,483,TRUE,10.2,complete,2019-12-05T04:36
236,FALSE,3821,TRUE,0,205,TRUE,9.6,complete,2019-12-05T04:37
237,FALSE,0,TRUE,0,18,TRUE,10.4,incomplete,2019-12-05T04:38
238,TRUE,3807,TRUE,0,322,TRUE,10.4,complete,2019-12-05T04:39
239,FALSE,5019,TRUE,0,604,TRUE,9.6,incomplete,2019-12-05T04:40
240,FALSE,475,TRUE,0,24,TRUE,9.4,complete,2019-12-05T04:42
241,FALSE,0,TRUE,0,24,TRUE,9.4,incomplete,2019-12-05T04:44
242,TRUE,836,TRUE,0,36,TRUE,10.6,complete,2019-12-05T04:46
243,FALSE,153,TRUE,0,22,TRUE,9.8,incomplete,2019-12-05T04:47
244,TRUE,2262,TRUE,0,81,TRUE,10.4,complete,2019-12-05T04:48
245,FALSE,536,TRUE,0,106,TRUE,10.6,complete,2019-12-05T04:49
246,FALSE,3650,TRUE,0,119,TRUE,9.8,complete,2019-12-05T04:51
247,TRUE,5034,TRUE,0,564,TRUE,9.8,complete,2019-12-05T04:52
248,TRUE,1056,TRUE,0,218,TRUE,9.8,complete,2019-12-05T04:53
249,TRUE,5173,TRUE,0,279,TRUE,10.8,complete,2019-12-05T04:54
250,FALSE,7605,TRUE,0,769,TRUE,11.2,complete,2019-12-05T04:57
251,FALSE,1977,TRUE,0,48,TRUE,9.6,complete,2019-12-05T04:58
252,FALSE,1827,TRUE,0,113,TRUE,10.4,complete,2019-12-05T04:59
253,TRUE,2029,TRUE,0,50,TRUE,10,complete,2019-12-05T05:00
254,FALSE,3013,TRUE,0,92,TRUE,9.6,complete,2019-12-05T05:01
255,FALSE,0,TRUE,0,21,TRUE,9.6,complete,2019-12-05T05:02
256,TRUE,2700,TRUE,0,28,TRUE,10,complete,2019-12-05T05:03
257,TRUE,3537,TRUE,0,492,TRUE,9.4,complete,2019-12-05T05:04
258,TRUE,5134,TRUE,0,804,TRUE,9.6,complete,2019-12-05T05:05
259,TRUE,2245,TRUE,0,133,TRUE,11.4,incomplete,2019-12-05T05:06
260,TRUE,247,TRUE,0,19,TRUE,9.6,complete,2019-12-05T05:07
261,FALSE,1212,TRUE,0,24,TRUE,10,complete,2019-12-05T05:08
262,TRUE,4120,TRUE,0,33,TRUE,9.4,incomplete,2019-12-05T05:09
263,TRUE,3173,TRUE,0,30,TRUE,11,complete,2019-12-05T05:10
264,TRUE,3729,TRUE,0,404,TRUE,9.8,complete,2019-12-05T05:11
265,FALSE,1366,TRUE,0,16,TRUE,9.6,incomplete,2019-12-05T05:12
266,FALSE,2188,TRUE,0,134,TRUE,10.6,complete,2019-12-05T05:13
267,FALSE,3566,TRUE,0,90,TRUE,11,complete,2019-12-05T05:14
268,TRUE,4373,TRUE,0,219,TRUE,9.4,complete,2019-12-05T05:15
269,FALSE,4539,TRUE,0,36,TRUE,9.6,complete,2019-12-05T05:16
270,TRUE,3867,TRUE,0,58,TRUE,10,complete,2019-12-05T05:17
271,TRUE,5198,TRUE,0,228,TRUE,9.6,complete,2019-12-05T05:18
272,TRUE,4446,TRUE,0,763,TRUE,10.8,complete,2019-12-05T05:19
273,TRUE,5204,TRUE,0,311,TRUE,9.8,complete,2019-12-05T05:20
274,TRUE,4340,TRUE,0,623,TRUE,9.4,complete,2019-12-05T05:21
275,TRUE,5128,TRUE,0,795,TRUE,9.4,complete,2019-12-05T05:22
276,FALSE,4873,TRUE,0,464,TRUE,9.4,complete,2019-12-05T05:23
277,TRUE,19579,TRUE,0,3024,TRUE,11.4,complete,2019-12-05T05:27
278,FALSE,4015,TRUE,0,153,TRUE,9.8,complete,2019-12-05T05:28
279,TRUE,3663,TRUE,0,32,TRUE,10.2,complete,2019-12-05T05:29
280,TRUE,5063,TRUE,0,1517,TRUE,9.6,complete,2019-12-05T05:30
281,FALSE,4153,TRUE,0,36,TRUE,11,complete,2019-12-05T05:31
282,FALSE,3894,TRUE,0,33,TRUE,9.6,complete,2019-12-05T05:32
283,FALSE,4243,TRUE,0,72,TRUE,9.4,complete,2019-12-05T05:33
284,TRUE,3153,TRUE,0,72,TRUE,10,complete,2019-12-05T05:34
285,TRUE,5146,TRUE,0,215,TRUE,10,complete,2019-12-05T05:35
286,TRUE,2564,TRUE,0,28,TRUE,9.4,complete,2019-12-05T05:36
287,TRUE,3879,TRUE,0,40,TRUE,11,complete,2019-12-05T05:37
288,FALSE,3519,TRUE,0,29,TRUE,10.4,complete,2019-12-05T05:38
289,TRUE,3567,TRUE,0,324,TRUE,11,incomplete,2019-12-05T05:39
290,TRUE,2797,TRUE,0,33,TRUE,10,complete,2019-12-05T05:40
291,TRUE,4045,TRUE,0,31,TRUE,9.4,complete,2019-12-05T05:41
292,FALSE,1790,TRUE,0,20,TRUE,9.8,complete,2019-12-05T05:42
293,FALSE,2786,TRUE,0,28,TRUE,9.2,complete,2019-12-05T05:43
294,FALSE,222,TRUE,0,4,TRUE,10,incomplete,2019-12-05T05:44
295,FALSE,0,TRUE,0,0,TRUE,11.2,incomplete,2019-12-05T05:45
296,FALSE,0,TRUE,0,0,TRUE,9.6,incomplete,2019-12-05T05:46
297,FALSE,0,TRUE,0,0,TRUE,11,incomplete,2019-12-05T05:47
298,FALSE,0,TRUE,0,0,TRUE,9.8,incomplete,2019-12-05T05:48
