,time,link,rx_fcserrors,admin_status,poe_status,poe_power,rx_packets,tx_packets
183,2019-12-04T03:12,FALSE,2,TRUE,TRUE,9.4,0,30
184,2019-12-04T03:13,TRUE,0,TRUE,TRUE,9.4,0,19
185,2019-12-04T03:14,FALSE,0,TRUE,TRUE,10.6,0,17
186,2019-12-04T03:15,FALSE,0,TRUE,TRUE,11,0,22
187,2019-12-04T03:16,TRUE,114,TRUE,TRUE,9.6,0,21
188,2019-12-04T03:17,FALSE,34,TRUE,TRUE,9.4,0,13
189,2019-12-04T03:18,FALSE,0,TRUE,TRUE,9.8,0,7
190,2019-12-04T03:19,FALSE,2,TRUE,TRUE,9.8,0,23
191,2019-12-04T03:20,FALSE,0,TRUE,TRUE,10,0,11
192,2019-12-04T03:21,FALSE,0,TRUE,TRUE,9.6,0,20
193,2019-12-04T03:22,FALSE,0,TRUE,TRUE,11,0,22
194,2019-12-04T03:23,FALSE,0,TRUE,TRUE,9.8,0,16
195,2019-12-04T03:24,FALSE,0,TRUE,TRUE,10,0,23
196,2019-12-04T03:25,FALSE,127,TRUE,TRUE,11,0,19
197,2019-12-04T03:26,FALSE,169,TRUE,TRUE,11,0,10
198,2019-12-04T03:27,FALSE,0,TRUE,TRUE,11.4,0,21
199,2019-12-04T03:28,TRUE,0,TRUE,TRUE,10.4,0,21
200,2019-12-04T03:29,FALSE,0,TRUE,TRUE,9.8,0,28
201,2019-12-04T03:30,FALSE,0,TRUE,TRUE,11.4,0,20
202,2019-12-04T03:31,FALSE,0,TRUE,TRUE,9.4,0,17
203,2019-12-04T03:32,FALSE,0,TRUE,TRUE,10,0,25
204,2019-12-04T03:33,FALSE,55,TRUE,TRUE,9.4,0,27
205,2019-12-04T03:34,FALSE,0,TRUE,TRUE,9.6,0,25
206,2019-12-04T03:35,TRUE,0,TRUE,TRUE,9.4,0,13
207,2019-12-04T03:36,FALSE,18,TRUE,TRUE,9.8,0,24
208,2019-12-04T03:37,TRUE,149,TRUE,TRUE,10.8,0,21
209,2019-12-04T03:38,FALSE,39,TRUE,TRUE,9.2,0,27
210,2019-12-04T03:39,FALSE,0,TRUE,TRUE,9.4,0,2
211,2019-12-04T03:42,TRUE,477,TRUE,TRUE,9.4,0,33
212,2019-12-04T03:43,FALSE,0,TRUE,TRUE,9.2,0,20
213,2019-12-04T03:44,FALSE,457,TRUE,TRUE,9.6,0,18
214,2019-12-04T03:45,TRUE,0,TRUE,TRUE,9.8,0,17
215,2019-12-04T03:46,FALSE,0,TRUE,TRUE,9.6,0,17
216,2019-12-04T03:47,FALSE,207,TRUE,TRUE,11.2,0,20
217,2019-12-04T03:48,FALSE,2065,TRUE,TRUE,10.2,0,134
218,2019-12-04T03:49,TRUE,1,TRUE,TRUE,9.4,0,18
219,2019-12-04T03:50,TRUE,518,TRUE,TRUE,9.6,0,24
220,2019-12-04T03:51,FALSE,1579,TRUE,TRUE,9.6,0,43
221,2019-12-04T03:52,FALSE,799,TRUE,TRUE,9.4,0,22
222,2019-12-04T03:53,FALSE,0,TRUE,TRUE,9.4,0,18
223,2019-12-04T03:54,TRUE,227,TRUE,TRUE,10.6,0,28
224,2019-12-04T03:55,FALSE,0,TRUE,TRUE,11.2,0,18
225,2019-12-04T03:56,TRUE,0,TRUE,TRUE,9.8,0,19
226,2019-12-04T03:57,FALSE,1014,TRUE,TRUE,9.2,0,45
227,2019-12-04T03:58,FALSE,1,TRUE,TRUE,9.4,0,16
228,2019-12-04T03:59,FALSE,1,TRUE,TRUE,9.4,0,14
229,2019-12-04T04:00,TRUE,0,TRUE,TRUE,9.4,0,18
230,2019-12-04T04:01,FALSE,0,TRUE,TRUE,11,0,21
231,2019-12-04T04:02,FALSE,801,TRUE,TRUE,9.6,0,14
232,2019-12-04T04:03,FALSE,104,TRUE,TRUE,9.8,0,22
233,2019-12-04T04:04,TRUE,516,TRUE,TRUE,9.4,0,22
234,2019-12-04T04:05,FALSE,1441,TRUE,TRUE,9.6,0,33
235,2019-12-04T04:06,FALSE,1462,TRUE,TRUE,9.4,0,20
236,2019-12-04T04:07,FALSE,0,TRUE,TRUE,10.6,0,31
237,2019-12-04T04:08,FALSE,0,TRUE,TRUE,10,0,19
238,2019-12-04T04:09,FALSE,10,TRUE,TRUE,10.4,0,14
239,2019-12-04T04:10,TRUE,260,TRUE,TRUE,10,0,14
240,2019-12-04T04:11,FALSE,336,TRUE,TRUE,11.2,0,29
241,2019-12-04T04:12,TRUE,441,TRUE,TRUE,9.4,0,44
242,2019-12-04T04:13,TRUE,816,TRUE,TRUE,11.2,0,64
243,2019-12-04T04:14,TRUE,1021,TRUE,TRUE,9.8,0,314
244,2019-12-04T04:15,FALSE,84,TRUE,TRUE,9.4,0,71
245,2019-12-04T04:16,FALSE,330,TRUE,TRUE,10.6,0,31
246,2019-12-04T04:17,TRUE,392,TRUE,TRUE,9.6,0,42
247,2019-12-04T04:18,FALSE,339,TRUE,TRUE,9.4,0,45
248,2019-12-04T04:19,FALSE,107,TRUE,TRUE,9.4,0,8
249,2019-12-04T04:20,FALSE,487,TRUE,TRUE,10.6,0,48
250,2019-12-04T04:21,TRUE,679,TRUE,TRUE,9.6,0,353
251,2019-12-04T04:22,TRUE,561,TRUE,TRUE,10.2,0,218
252,2019-12-04T04:23,TRUE,278,TRUE,TRUE,9.6,0,22
253,2019-12-04T04:24,FALSE,237,TRUE,TRUE,9.2,0,25
254,2019-12-04T04:25,FALSE,716,TRUE,TRUE,10.8,0,284
255,2019-12-04T04:26,TRUE,224,TRUE,TRUE,10,0,55
256,2019-12-04T04:27,TRUE,452,TRUE,TRUE,10.6,0,20
257,2019-12-04T04:28,TRUE,573,TRUE,TRUE,9.4,0,192
258,2019-12-04T04:29,TRUE,563,TRUE,TRUE,10.6,0,105
259,2019-12-04T04:30,TRUE,759,TRUE,TRUE,9.8,0,43
260,2019-12-04T04:31,TRUE,592,TRUE,TRUE,9.6,0,23
261,2019-12-04T04:32,TRUE,541,TRUE,TRUE,9.2,0,161
262,2019-12-04T04:33,TRUE,738,TRUE,TRUE,10.6,0,171
263,2019-12-04T04:34,TRUE,621,TRUE,TRUE,10,0,15
264,2019-12-04T04:35,FALSE,571,TRUE,TRUE,10.8,0,265
265,2019-12-04T04:36,TRUE,753,TRUE,TRUE,9.4,0,226
266,2019-12-04T04:37,FALSE,620,TRUE,TRUE,9.4,0,76
267,2019-12-04T04:38,TRUE,473,TRUE,TRUE,9.4,0,38
268,2019-12-04T04:39,TRUE,434,TRUE,TRUE,9.4,0,45
269,2019-12-04T04:40,TRUE,706,TRUE,TRUE,11.2,0,147
270,2019-12-04T04:43,TRUE,1515,TRUE,TRUE,10.4,0,253
271,2019-12-04T04:44,TRUE,590,TRUE,TRUE,9.6,0,20
272,2019-12-04T04:45,TRUE,736,TRUE,TRUE,10.2,0,110
273,2019-12-04T04:46,FALSE,548,TRUE,TRUE,9.8,0,68
274,2019-12-04T04:47,TRUE,464,TRUE,TRUE,9.6,0,51
275,2019-12-04T04:48,TRUE,876,TRUE,TRUE,9.2,0,226
276,2019-12-04T04:49,TRUE,368,TRUE,TRUE,10,0,166
277,2019-12-04T04:50,TRUE,536,TRUE,TRUE,10.2,0,14
278,2019-12-04T04:51,TRUE,700,TRUE,TRUE,9.6,0,92
279,2019-12-04T04:52,FALSE,443,TRUE,TRUE,9.4,0,240
