,link,poe_status,poe_power,rx_packets,tx_packets,rx_fcserrors,time
650,True,False,0.0,173,1006,3,2019-12-08T11:21
651,True,False,0.0,233,1237,9,2019-12-08T11:22
652,True,False,0.0,201,1016,10,2019-12-08T11:23
653,True,False,0.0,242,1187,2,2019-12-08T11:24
654,True,False,0.0,221,1036,2,2019-12-08T11:25
655,True,False,0.0,188,1064,0,2019-12-08T11:26
656,True,False,0.0,187,1048,2,2019-12-08T11:27
657,True,False,0.0,201,834,9,2019-12-08T11:28
658,True,False,0.0,194,1204,1,2019-12-08T11:29
659,True,False,0.0,185,1030,4,2019-12-08T11:30
660,True,False,0.0,213,1236,5,2019-12-08T11:31
661,True,False,0.0,204,1258,4,2019-12-08T11:32
662,True,False,0.0,180,1123,1,2019-12-08T11:33
663,True,False,0.0,221,1023,4,2019-12-08T11:34
664,True,False,0.0,208,1177,13,2019-12-08T11:35
665,True,False,0.0,175,986,3,2019-12-08T11:36
666,True,False,0.0,919,4072,34,2019-12-08T11:40
667,True,False,0.0,193,1018,3,2019-12-08T11:41
668,True,False,0.0,215,1206,2,2019-12-08T11:42
669,True,False,0.0,234,977,8,2019-12-08T11:43
670,True,False,0.0,205,1181,6,2019-12-08T11:44
671,True,False,0.0,180,1135,5,2019-12-08T11:45
672,True,False,0.0,224,1115,14,2019-12-08T11:46
673,True,False,0.0,210,1082,8,2019-12-08T11:47
674,True,False,0.0,185,977,2,2019-12-08T11:48
675,True,False,0.0,234,1138,7,2019-12-08T11:49
676,True,False,0.0,173,1061,3,2019-12-08T11:50
677,True,False,0.0,177,1079,3,2019-12-08T11:51
678,True,False,0.0,247,1009,15,2019-12-08T11:52
679,True,False,0.0,208,1137,5,2019-12-08T11:53
680,True,False,0.0,173,955,1,2019-12-08T11:54
681,True,False,0.0,210,1061,0,2019-12-08T11:55
682,True,False,0.0,214,1169,3,2019-12-08T11:56
683,True,False,0.0,263,1197,45,2019-12-08T11:57
684,True,False,0.0,278,1185,28,2019-12-08T11:58
685,True,False,0.0,171,1050,8,2019-12-08T11:59
686,True,False,0.0,174,1014,7,2019-12-08T12:00
687,True,False,0.0,210,1094,2,2019-12-08T12:01
688,True,False,0.0,182,1029,4,2019-12-08T12:02
689,True,False,0.0,160,1142,2,2019-12-08T12:03
690,True,False,0.0,270,1156,47,2019-12-08T12:04
691,True,False,0.0,226,1258,14,2019-12-08T12:05
692,True,False,0.0,144,903,0,2019-12-08T12:06
693,True,False,0.0,224,1111,23,2019-12-08T12:07
694,True,False,0.0,199,1093,1,2019-12-08T12:08
695,True,False,0.0,148,981,3,2019-12-08T12:09
696,True,False,0.0,136,1044,0,2019-12-08T12:10
697,True,False,0.0,142,1189,1,2019-12-08T12:11
698,True,False,0.0,147,1253,0,2019-12-08T12:12
699,True,False,0.0,123,985,0,2019-12-08T12:13
700,True,False,0.0,157,952,0,2019-12-08T12:14
701,True,False,0.0,131,971,1,2019-12-08T12:15
702,True,False,0.0,130,929,0,2019-12-08T12:16
703,True,False,0.0,133,1119,3,2019-12-08T12:17
704,True,False,0.0,130,1115,2,2019-12-08T12:18
705,True,False,0.0,120,1036,0,2019-12-08T12:19
706,True,False,0.0,130,1084,1,2019-12-08T12:20
707,True,False,0.0,129,1129,0,2019-12-08T12:21
708,True,False,0.0,145,1074,1,2019-12-08T12:22
709,True,False,0.0,252,1192,22,2019-12-08T12:23
710,True,False,0.0,420,1613,39,2019-12-08T12:24
711,True,False,0.0,437,1683,35,2019-12-08T12:25
712,True,False,0.0,431,1575,37,2019-12-08T12:26
713,True,False,0.0,434,1518,43,2019-12-08T12:27
714,True,False,0.0,501,1681,58,2019-12-08T12:28
715,True,False,0.0,426,1594,45,2019-12-08T12:29
716,True,False,0.0,423,1607,49,2019-12-08T12:30
717,True,False,0.0,444,1660,40,2019-12-08T12:31
718,True,False,0.0,478,1705,39,2019-12-08T12:32
719,True,False,0.0,448,1761,39,2019-12-08T12:33
